AÑO;MES;DIA;REGION;COMUNA;TOTAL
2021;12;20;II Región de Antofagasta;ANTOFAGASTA;34
2021;1;27;II Región de Antofagasta;CALAMA;12
2021;6;9;II Región de Antofagasta;ANTOFAGASTA;12
2021;6;7;II Región de Antofagasta;ANTOFAGASTA;30
2021;9;30;II Región de Antofagasta;ANTOFAGASTA;11
2021;8;19;II Región de Antofagasta;ANTOFAGASTA;21
2021;6;2;II Región de Antofagasta;TOCOPILLA;1
2021;11;12;II Región de Antofagasta;CALAMA;4
2021;4;26;II Región de Antofagasta;CALAMA;8
2021;8;16;II Región de Antofagasta;SAN PEDRO DE ATACAMA;1
2021;6;15;II Región de Antofagasta;ANTOFAGASTA;5
2021;8;12;II Región de Antofagasta;CALAMA;8
2021;4;7;II Región de Antofagasta;ANTOFAGASTA;20
2021;3;4;II Región de Antofagasta;ANTOFAGASTA;16
2021;12;14;II Región de Antofagasta;TOCOPILLA;1
2021;8;18;II Región de Antofagasta;CALAMA;5
2021;11;11;II Región de Antofagasta;CALAMA;2
2021;3;10;II Región de Antofagasta;CALAMA;5
2021;4;6;II Región de Antofagasta;CALAMA;4
2021;12;31;II Región de Antofagasta;CALAMA;9
2021;11;4;II Región de Antofagasta;TOCOPILLA;1
2021;8;24;II Región de Antofagasta;ANTOFAGASTA;9
2021;5;14;II Región de Antofagasta;ANTOFAGASTA;20
2021;9;28;II Región de Antofagasta;ANTOFAGASTA;20
2021;1;4;II Región de Antofagasta;CALAMA;16
2021;11;3;II Región de Antofagasta;CALAMA;7
2021;4;15;II Región de Antofagasta;ANTOFAGASTA;11
2021;10;25;II Región de Antofagasta;TOCOPILLA;2
2021;7;2;II Región de Antofagasta;ANTOFAGASTA;16
2021;4;27;II Región de Antofagasta;CALAMA;4
2021;5;4;II Región de Antofagasta;SAN PEDRO DE ATACAMA;1
2021;10;4;II Región de Antofagasta;CALAMA;14
2021;7;27;II Región de Antofagasta;ANTOFAGASTA;15
2021;3;2;II Región de Antofagasta;MEJILLONES;1
2021;6;14;II Región de Antofagasta;ANTOFAGASTA;37
2021;11;16;II Región de Antofagasta;ANTOFAGASTA;19
2021;10;7;II Región de Antofagasta;CALAMA;6
2021;2;23;II Región de Antofagasta;CALAMA;10
2021;3;22;II Región de Antofagasta;CALAMA;12
2021;10;25;II Región de Antofagasta;ANTOFAGASTA;33
2021;7;1;II Región de Antofagasta;CALAMA;5
2021;8;11;II Región de Antofagasta;TOCOPILLA;1
2021;7;8;II Región de Antofagasta;CALAMA;3
2021;2;17;II Región de Antofagasta;CALAMA;8
2021;8;17;II Región de Antofagasta;ANTOFAGASTA;20
2021;12;17;II Región de Antofagasta;CALAMA;4
2021;1;26;II Región de Antofagasta;ANTOFAGASTA;22
2021;1;14;II Región de Antofagasta;CALAMA;4
2021;5;27;II Región de Antofagasta;ANTOFAGASTA;11
2021;12;27;II Región de Antofagasta;ANTOFAGASTA;29
2021;4;20;II Región de Antofagasta;CALAMA;11
2021;11;18;II Región de Antofagasta;ANTOFAGASTA;13
2021;10;22;II Región de Antofagasta;CALAMA;7
